,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,ATP,ADP,P2Y12G,Ca,PIP3
88.0,1.3474620351166406,0.9947627989784598,0.30582236222537124,0.27637054396160915,0.0,0.0,0.0,0.0,0.0,,1.0000000000026559,1.0,1.0929976204988765
89.0,1.3462835107830409,0.9950662161320102,0.3098461275421772,0.28134177361883866,0.0,0.0,0.0,0.0,0.0,,1.000000000001049,1.0,1.0929073935097124
90.0,1.345026274100989,0.9953520548344562,0.3138491044718867,0.2862967719620112,0.0,0.0,0.0,0.0,0.0,,1.0000000000012217,1.0,1.0927833901014832
91.0,1.343694477977079,0.9956213346645205,0.3178311538971774,0.2912345280222556,0.0,0.0,0.0,0.0,0.0,,1.0000000000006024,1.0,1.0926274006356893
92.0,1.342292132356806,0.9958750134906984,0.32179215174062537,0.29615408067150406,0.0,0.0,0.0,0.0,0.0,,1.00000000000029,1.0,1.0924411317296425
93.0,1.3408231178327392,0.9961139955689778,0.32573198702434825,0.30105451374691156,0.0,0.0,0.0,0.0,0.0,,1.0000000000001612,1.0,1.0922262299362664
94.0,1.3392911820973148,0.9963391323975366,0.32965056196509834,0.30593495707772234,0.0,0.0,0.0,0.0,0.0,,0.9999999999999903,1.0,1.0919842680848493
95.0,1.3376999502263518,0.996551227113475,0.33354779090462255,0.3107945828989865,0.0,0.0,0.0,0.0,0.0,,0.9999999999997995,1.0,1.091716750688249
96.0,1.3360529220572626,0.9967510371551959,0.33742359985352716,0.3156326063554693,0.0,0.0,0.0,0.0,0.0,,0.999999999999718,1.0,1.0914251214279227
97.0,1.3343534604998686,0.996939269272359,0.3412779277208583,0.32044828958629606,0.0,0.0,0.0,0.0,0.0,,1.0000000000000007,1.0,1.0911107557553918
98.0,1.3326048208719805,0.997116594723639,0.34511072272705057,0.3252409312019882,0.0,0.0,0.0,0.0,0.0,,1.0000000000005695,1.0,1.0907749856662492
99.0,1.3308101448228498,0.9972836463710522,0.34892194310561947,0.3300098684218088,0.0,0.0,0.0,0.0,0.0,,1.0000000000011313,1.0,1.0904190941536533
100.0,1.3289724584344869,0.9974410202809518,0.35271155694765216,0.33475447720796137,0.0,0.0,0.0,0.0,0.0,,1.0000000000013214,1.0,1.09004430192893
101.0,1.327094699555083,0.9975892838464687,0.35647953994523524,0.3394741632494102,0.0,0.0,0.0,0.0,0.0,,1.0000000000006257,1.0,1.089651786629591
102.0,1.325179601408131,0.9977289435032733,0.360225884627573,0.3441684001339202,0.0,0.0,0.0,0.0,0.0,,0.9999999999995515,1.0,1.0892426005908646
103.0,1.3232299365785583,0.9978605181533282,0.36395058019847787,0.3488366482472852,0.0,0.0,0.0,0.0,0.0,,0.9999999999987667,1.0,1.0888178148756926
104.0,1.3212482799646728,0.9979844697277539,0.36765363128054873,0.35347843319856836,0.0,0.0,0.0,0.0,0.0,,0.9999999999994666,1.0,1.0883784286531393
105.0,1.3192371301498333,0.9981012400658088,0.3713350474341881,0.358093305337617,0.0,0.0,0.0,0.0,0.0,,0.9999999999997143,1.0,1.0879254778428646
106.0,1.3171988880902183,0.9982112451973956,0.37499484616584583,0.36268084659515887,0.0,0.0,0.0,0.0,0.0,,0.9999999999998657,1.0,1.0874598795442434
107.0,1.315135860370963,0.9983148771340168,0.37863305160624505,0.3672406692227575,0.0,0.0,0.0,0.0,0.0,,0.999999999999931,1.0,1.0869825247124663
108.0,1.3130502559188995,0.9984125038780094,0.3822496947107939,0.3717724165874849,0.0,0.0,0.0,0.0,0.0,,0.9999999999999662,1.0,1.0864942611875898
109.0,1.3109442034471526,0.9985044743017998,0.3858448118756016,0.376275757437248,0.0,0.0,0.0,0.0,0.0,,0.9999999999999893,1.0,1.0859959048592391
110.0,1.3088197396746686,0.9985911159735479,0.3894184455876869,0.3807503893725674,0.0,0.0,0.0,0.0,0.0,,1.0000000000000033,1.0,1.0854882344832115
111.0,1.3066788205901818,0.9986727383127363,0.3929706435520035,0.38519603512350375,0.0,0.0,0.0,0.0,0.0,,1.0000000000000067,1.0,1.0849719959836666
112.0,1.3045233174872004,0.9987496322171482,0.39650145882525,0.3896124435952648,0.0,0.0,0.0,0.0,0.0,,1.0000000000000027,1.0,1.08444790058702
113.0,1.3023550210943327,0.9988220716338653,0.4000109493908899,0.3939993883287478,0.0,0.0,0.0,0.0,0.0,,0.9999999999999989,1.0,1.0839166262160784
114.0,1.300175649668822,0.9988903160720239,0.40349917743790764,0.3983566646607403,0.0,0.0,0.0,0.0,0.0,,1.0000000000000002,1.0,1.083378821804423
115.0,1.2979868415853266,0.9989546084854181,0.4069662099660154,0.40268409223469886,0.0,0.0,0.0,0.0,0.0,,1.0000000000000122,1.0,1.0828351037482136
116.0,1.295790153324742,0.9990151752862011,0.4104121187751019,0.4069815153847125,0.0,0.0,0.0,0.0,0.0,,1.0000000000000402,1.0,1.082286055873364
117.0,1.2935870932077296,0.9990722358858646,0.4138369776921122,0.41124879162612016,0.0,0.0,0.0,0.0,0.0,,1.0000000000000786,1.0,1.0817322467582942
118.0,1.2913790687778823,0.999125988910775,0.4172408665794242,0.4154858090778836,0.0,0.0,0.0,0.0,0.0,,1.0000000000001232,1.0,1.081174204196271
119.0,1.2891674368767783,0.9991766251901033,0.42062386755055403,0.41969247000224075,0.0,0.0,0.0,0.0,0.0,,1.0000000000001619,1.0,1.0806124392112142
120.0,1.2869535059535522,0.9992243283595884,0.42398606479451234,0.4238686900411561,0.0,0.0,0.0,0.0,0.0,,1.0000000000001754,1.0,1.0800474471757968
121.0,1.284738506333374,0.9992692672486675,0.42732754678469337,0.4280144078768266,0.0,0.0,0.0,0.0,0.0,,1.0000000000001428,1.0,1.0794796931935742
122.0,1.2825236159543398,0.999311603144654,0.43064840407164057,0.4321295760475225,0.0,0.0,0.0,0.0,0.0,,1.0000000000000635,1.0,1.078909620946691
123.0,1.2803099494708114,0.9993514864579869,0.43394873033102904,0.436214165151927,0.0,0.0,0.0,0.0,0.0,,0.9999999999999372,1.0,1.078337650413249
124.0,1.2780985632685575,0.999389058215246,0.437228622243986,0.440268161971991,0.0,0.0,0.0,0.0,0.0,,0.9999999999998938,1.0,1.0777641426383617
125.0,1.275890467181473,0.9994244533978242,0.44048817786306277,0.444291565181589,0.0,0.0,0.0,0.0,0.0,,0.9999999999999637,1.0,1.0771894635101933
