,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,ATP,ADP,P2Y12G,Ca,PIP3
800.0,1.0041667084025352,1.0000000000000004,0.985696275745011,0.9887964564690351,-8.045613685203908e-25,0.0,0.0,0.0,-3.779829120934874e-25,-inf,1.0,1.0,1.0012025970836325
801.0,1.0041442831646423,1.0000000000000004,0.985772447381991,0.9888564334932917,-7.920678260820661e-25,0.0,0.0,0.0,-3.646719586558528e-25,-inf,1.0,1.0,1.0011961271654506
802.0,1.0041219800564105,1.0000000000000004,0.9858482128130392,0.9889160873107387,-7.733829355310818e-25,0.0,0.0,0.0,-3.5083916106506434e-25,-inf,1.0,1.0,1.0011896924581893
803.0,1.0040997983934914,1.0000000000000004,0.9859235742161843,0.9889754196930953,-7.47979236086792e-25,0.0,0.0,0.0,-3.365210747910536e-25,-inf,1.0,1.0,1.0011832927649844
804.0,1.0040777374952015,1.0000000000000004,0.9859985337582919,0.9890344324027929,-7.153071233514973e-25,0.0,0.0,0.0,-3.2175747213699246e-25,-inf,1.0,1.0,1.0011769278900315
805.0,1.0040557966844847,1.0000000000000004,0.9860730935951502,0.989093127193058,-6.747944538409552e-25,0.0,0.0,0.0,-3.065914144802608e-25,-inf,1.0,1.0,1.0011705976385739
806.0,1.0040339752878766,1.0000000000000004,0.9861472558715553,0.9891515058079929,-6.258461495148902e-25,0.0,0.0,0.0,-2.9106932451341363e-25,-inf,1.0,1.0,1.0011643018168928
807.0,1.004012272635467,1.0000000000000004,0.9862210227213969,0.9892095699826586,-5.6784380230750185e-25,0.0,0.0,0.0,-2.7524105848514876e-25,-inf,1.0,1.0,1.0011580402322975
808.0,1.0039906880608627,1.0000000000000004,0.9862943962677436,0.9892673214431565,-5.0014527865797555e-25,0.0,0.0,0.0,-2.591599784412738e-25,-inf,1.0,1.0,1.001151812693115
809.0,1.003969220901153,1.0000000000000002,0.9863673786229286,0.9893247619067103,-4.220843240409916e-25,0.0,0.0,0.0,-2.428830244656738e-25,-inf,1.0,1.0,1.001145619008678
810.0,1.0039478704968707,1.0000000000000002,0.9864399718886349,0.9893818930817478,-3.3297016749723494e-25,0.0,0.0,0.0,-2.264707869212788e-25,-inf,1.0,1.0,1.0011394589893174
811.0,1.0039266361919568,1.0000000000000002,0.9865121781559809,0.9894387166679837,-2.3208712616390446e-25,0.0,0.0,0.0,-2.099875786910306e-25,-inf,1.0,1.0,1.0011333324463494
812.0,1.0039055173337235,1.0000000000000002,0.9865839995056059,0.9894952343565004,-1.1869420980522283e-25,0.0,0.0,0.0,-1.9350150741885087e-25,-inf,1.0,1.0,1.001127239192066
813.0,1.0038845132728174,1.0000000000000002,0.9866554380077558,0.9895514478298306,7.975274657054078e-27,0.0,0.0,0.0,-1.77084547750608e-25,-inf,1.0,1.0,1.0011211790397254
814.0,1.0038636233631826,1.0000000000000002,0.9867264957223676,0.9896073587620399,1.4871411861312815e-25,0.0,0.0,0.0,-1.608126135750846e-25,-inf,1.0,1.0,1.0011151518035408
815.0,1.003842846962025,1.0000000000000002,0.9867971746991561,0.9896629688188069,3.043416072346486e-25,0.0,0.0,0.0,-1.4476563026494516e-25,-inf,1.0,1.0,1.0011091572986701
816.0,1.0038221834297756,1.0000000000000002,0.9868674769776987,0.9897182796575074,4.757039149442026e-25,0.0,0.0,0.0,-1.2902760691770302e-25,-inf,1.0,1.0,1.0011031953412062
817.0,1.0038016321300511,1.0000000000000002,0.9869374045875212,0.9897732929272949,6.636745008848067e-25,0.0,0.0,0.0,-1.1368670859668801e-25,-inf,1.0,1.0,1.0010972657481656
818.0,1.0037811931097698,1.0000000000000002,0.9870069583893455,0.9898280089051368,7.244533081840511e-25,0.0,0.0,0.0,-9.422791300457308e-26,-inf,1.0,1.0,1.0010913684940637
819.0,1.0037608651778498,1.0000000000000002,0.9870761413486248,0.9898824303490136,7.783147985101158e-25,0.0,0.0,0.0,-7.454797330485419e-26,-inf,1.0,1.0,1.0010855032685881
820.0,1.0037406477110027,1.0000000000000002,0.9871449554588525,0.9899365588763845,8.254188261901722e-25,0.0,0.0,0.0,-5.472255222588287e-26,-inf,1.0,1.0,1.0010796698923299
821.0,1.003720540094977,1.0000000000000002,0.9872134026935986,0.9899903960847916,8.646786950364925e-25,0.0,0.0,0.0,-3.4791147003551293e-26,-inf,1.0,1.0,1.0010738681881421
822.0,1.0037005417189455,1.0000000000000002,0.9872814850160928,0.9900439435631228,8.949476497710317e-25,0.0,0.0,0.0,-1.479492797880274e-26,-inf,1.0,1.0,1.0010680979798474
823.0,1.0036806519754764,1.0000000000000002,0.9873492043792974,0.9900972028916786,9.150175974219227e-25,0.0,0.0,0.0,5.223242465384008e-27,-inf,1.0,1.0,1.0010623590922292
824.0,1.0036608702605052,1.0000000000000002,0.9874165627259791,0.9901501756422378,9.23617828719961e-25,0.0,0.0,0.0,2.5218790967008902e-26,inf,1.0,1.0,1.0010566513510222
825.0,1.0036411959733051,1.0000000000000002,0.9874835619887807,0.9902028633781234,9.19413739495103e-25,0.0,0.0,0.0,4.514541424806609e-26,inf,1.0,1.0,1.0010509745829057
826.0,1.0036216285164592,1.0,0.987550204090294,0.9902552676542697,9.010055520729425e-25,0.0,0.0,0.0,6.495506017755871e-26,inf,1.0,1.0,1.0010453286154932
827.0,1.0036021672958302,1.0,0.9876164909431309,0.9903073900172881,8.669270366712157e-25,0.0,0.0,0.0,8.459790883451361e-26,inf,1.0,1.0,1.0010397132773245
828.0,1.0035828117205337,1.0,0.9876824244499962,0.9903592320055321,8.15644232796279e-25,0.0,0.0,0.0,1.0402235357099663e-25,inf,1.0,1.0,1.0010341283978577
829.0,1.0035635612029075,1.0,0.9877480065037593,0.9904107951491659,7.455541706396064e-25,0.0,0.0,0.0,1.231749820751273e-25,inf,1.0,1.0,1.00102857380746
