,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,ATP,ADP,P2Y12G,Ca,PIP3
3335.0,1.0210754848713273,1.0000000003371845,0.9306575396318381,0.9445475229917775,-1.959821721364889e-23,0.0,0.0,0.0,-1.0475437395230484e-13,inf,1.0,0.9999999999999344,1.0060734368732906
3336.0,1.020956441356852,1.0000000003381964,0.9310288888307096,0.9448523339371929,-1.962544474790464e-23,0.0,0.0,0.0,-1.14345165526259e-13,inf,1.0,0.9999999999999284,1.0060391966777322
3337.0,1.0208381102217556,1.0000000003374505,0.931398234781718,0.9451554140291588,-1.9650904520250112e-23,0.0,0.0,0.0,-1.2070446047121313e-13,inf,1.0,0.9999999999999244,1.006005160653805
3338.0,1.0207204867079984,1.0000000003347786,0.9317655884710417,0.9454567737540688,-1.9674126406553207e-23,0.0,0.0,0.0,-1.2310037918045325e-13,inf,1.0,0.9999999999999228,1.0059713274459015
3339.0,1.0206035660908546,1.0000000003300118,0.9321309608245706,0.9457564235320606,-1.9694613286543747e-23,0.0,0.0,0.0,-1.207417684276605e-13,inf,1.0,0.9999999999999243,1.0059376957078299
3340.0,1.020487343678361,1.0000000003229799,0.932494362708388,0.946054373717804,-1.9711840504294436e-23,0.0,0.0,0.0,-1.1277639204174895e-13,inf,1.0,0.9999999999999293,1.0059042641026597
3341.0,1.0203718148107648,1.000000000313512,0.9328558049292516,0.9463506346012938,-1.972525532870182e-23,0.0,0.0,0.0,-9.828912158170371e-14,inf,1.0,0.9999999999999384,1.005871031302568
3342.0,1.0202569748599744,1.0000000003014373,0.9332152982350755,0.9466452164086385,-1.9734276413967205e-23,0.0,0.0,0.0,-7.630012701141878e-14,inf,1.0,0.9999999999999521,1.0058379959886858
3343.0,1.0201428192290058,1.0000000002865836,0.9335728533154121,0.9469381293028521,-1.9738293260077634e-23,0.0,0.0,0.0,-4.576306737453491e-14,inf,1.0,0.9999999999999714,1.0058051568509432
3344.0,1.0200293446210345,1.0000000002746656,0.9339284802130211,0.9472293819721951,-1.975084206953315e-23,0.0,0.0,0.0,-3.456547704662228e-14,inf,1.0,0.9999999999999784,1.0057725129490485
3345.0,1.019916546004651,1.0000000002632152,0.9342821897317785,0.947518985006545,-1.9765725349078057e-23,0.0,0.0,0.0,-3.0215244708580923e-14,inf,1.0,0.999999999999981,1.0057400628492705
3346.0,1.0198044186006558,1.0000000002507978,0.9346339925153163,0.9478069486872395,-1.977920210821159e-23,0.0,0.0,0.0,-2.52368101973931e-14,inf,1.0,0.9999999999999841,1.0057078051895767
3347.0,1.0196929579945104,1.000000000237535,0.9349838989950882,0.9480932828621481,-1.97912491226597e-23,0.0,0.0,0.0,-1.9750762788690975e-14,inf,1.0,0.9999999999999876,1.0056757387116229
