,pPTEN,pPI3K,pAKT,pGSK3B,PTEN,PI3K,AKT,GSK3B,LPS,bpV,LY294002,HDACi,LiCl,ATP,ADP,P2Y12G
385.5160516051605,0.9069455741682021,0.8937449876144695,0.11226875423678848,0.5151831982916333,0.09305442583179703,0.10625501238552328,0.8877312457632123,0.48481680170836344,0.0,0.0,0.0,0.0,7.405025902264053e-12,0.0,3.4522372093904264e-24,3.835819121541879e-24
385.56595659565954,0.9069455741725,0.8937449876209513,0.11226875423625715,0.5151831982978029,0.09305442582749915,0.10625501237904142,0.8877312457637436,0.48481680170219377,0.0,0.0,0.0,0.0,7.461351760350114e-12,0.0,3.435112075867714e-24,3.816791195405503e-24
385.6158615861586,0.9069455741767121,0.893744987627191,0.11226875423584887,0.5151831983040331,0.09305442582328705,0.10625501237280179,0.887731245764152,0.48481680169596353,0.0,0.0,0.0,0.0,7.515804309968778e-12,0.0,3.418070646101014e-24,3.797856273442475e-24
385.66576657665763,0.9069455741808369,0.893744987633181,0.11226875423556826,0.515183198310319,0.09305442581916225,0.10625501236681183,0.8877312457644325,0.4848168016896777,0.0,0.0,0.0,0.0,7.568321544588833e-12,0.0,3.401112498605992e-24,3.7790138873368684e-24
385.7156715671567,0.9069455741848728,0.8937449876389137,0.11226875423541997,0.5151831983166552,0.09305442581512632,0.106255012361079,0.8877312457645808,0.4848168016833415,0.0,0.0,0.0,0.0,7.618840843091541e-12,0.0,3.384237214931452e-24,3.760263572142909e-24
385.7655765576557,0.9069455741888183,0.8937449876443819,0.11226875423540877,0.5151831983230365,0.09305442581118081,0.10625501235561088,0.8877312457645921,0.4848168016769602,0.0,0.0,0.0,0.0,7.66729896977063e-12,0.0,3.3674443796593325e-24,3.741604866284972e-24
385.81548154815476,0.9069455741926719,0.8937449876495777,0.11226875423553943,0.5151831983294577,0.0930544258073273,0.1062550123504151,0.8877312457644614,0.484816801670539,0.0,0.0,0.0,0.0,7.713632074332296e-12,0.0,3.350733580404709e-24,3.723037311557588e-24
385.86538653865387,0.9069455741964318,0.8937449876544934,0.11226875423581678,0.5151831983359135,0.09305442580356732,0.10625501234549936,0.887731245764184,0.48481680166408314,0.0,0.0,0.0,0.0,7.757775691895255e-12,0.0,3.3341044078157756e-24,3.704560453125418e-24
385.9152915291529,0.9069455742000967,0.8937449876591214,0.11226875423624573,0.5151831983423987,0.09305442579990246,0.10625501234087144,0.8877312457637551,0.48481680165759805,0.0,0.0,0.0,0.0,7.79966474299054e-12,0.0,3.31755645557392e-24,3.686173839523333e-24
385.96519651965195,0.9069455742036648,0.8937449876634537,0.11226875423683122,0.5151831983489076,0.09305442579633429,0.10625501233653917,0.8877312457631695,0.4848168016510891,0.0,0.0,0.0,0.0,7.839233533561807e-12,0.0,3.3010893203936084e-24,3.667877022656299e-24
386.015101510151,0.9069455742071347,0.8937449876674823,0.11226875423757829,0.5151831983554349,0.09305442579286441,0.1062550123325105,0.8877312457624225,0.48481680164456176,0.0,0.0,0.0,0.0,7.876415754965127e-12,0.0,3.2847026020224632e-24,3.64966955779945e-24
386.06500650065004,0.9069455742105047,0.8937449876711994,0.11226875423849197,0.5151831983619752,0.09305442578949438,0.10625501232879339,0.8877312457615089,0.48481680163802143,0.0,0.0,0.0,0.0,7.911144483969044e-12,0.0,3.268395903241243e-24,3.631551003598075e-24
386.1149114911491,0.9069455742137733,0.8937449876745969,0.11226875423957743,0.5151831983685229,0.09305442578622582,0.10625501232539593,0.8877312457604234,0.4848168016314738,0.0,0.0,0.0,0.0,7.943352182754567e-12,0.0,3.252168829863844e-24,3.613520922067614e-24
386.16481648164813,0.9069455742169388,0.8937449876776665,0.1122687542408398,0.5151831983750724,0.0930544257830603,0.10625501232232624,0.887731245759161,0.4848168016249243,0.0,0.0,0.0,0.0,7.972970698915174e-12,0.0,3.236020990737298e-24,3.595578878593657e-24
386.2147214721472,0.9069455742199997,0.8937449876804002,0.11226875424228436,0.5151831983816181,0.09305442577999944,0.10625501231959253,0.8877312457577164,0.4848168016183786,0.0,0.0,0.0,0.0,7.99993126545681e-12,0.0,3.219951997741774e-24,3.5777244419319475e-24
386.2646264626462,0.9069455742229543,0.8937449876827898,0.11226875424391637,0.5151831983881543,0.09305442577704484,0.10625501231720309,0.8877312457560844,0.4848168016118424,0.0,0.0,0.0,0.0,8.0241645007979e-12,0.0,3.2039614657905768e-24,3.55995718420838e-24
386.31453145314526,0.906945574225801,0.8937449876848266,0.1122687542457412,0.5151831983946753,0.09305442577419812,0.10625501231516625,0.8877312457542595,0.48481680160532137,0.0,0.0,0.0,0.0,8.045600408769324e-12,0.0,3.188049012830149e-24,3.542276680919003e-24
386.36443644364437,0.9069455742285382,0.8937449876865023,0.11226875424776425,0.5151831984011753,0.0930544257714609,0.10625501231349045,0.8877312457522365,0.4848168015988213,0.0,0.0,0.0,0.0,8.064168378614452e-12,0.0,3.1722142598400507e-24,3.524682510929993e-24
386.4143414341434,0.9069455742311643,0.8937449876878086,0.11226875424999097,0.5151831984076487,0.0930544257688348,0.10625501231218419,0.8877312457500098,0.48481680159234797,0.0,0.0,0.0,0.0,8.079797184989073e-12,0.0,3.1564568308330334e-24,3.5071742564777404e-24
386.46424642464245,0.9069455742336777,0.8937449876887368,0.1122687542524269,0.5151831984140893,0.09305442576632143,0.10625501231125602,0.8877312457475739,0.48481680158590734,0.0,0.0,0.0,0.0,8.092414987961497e-12,0.0,3.140776352854931e-24,3.489751503168728e-24
386.5141514151415,0.9069455742360767,0.8937449876892782,0.11226875425507761,0.5151831984204915,0.09305442576392245,0.10625501231071459,0.8877312457449232,0.4848168015795052,0.0,0.0,0.0,0.0,8.101949333012485e-12,0.0,3.125172455984731e-24,3.472413839979609e-24
386.56405640564054,0.9069455742383596,0.8937449876894242,0.1122687542579487,0.5151831984268492,0.0930544257616395,0.1062550123105686,0.8877312457420521,0.4848168015731475,0.0,0.0,0.0,0.0,8.108327151035267e-12,0.0,3.109644773334559e-24,3.455160859257189e-24
386.6139613961396,0.9069455742405249,0.893744987689166,0.1122687542610459,0.5151831984331564,0.0930544257594742,0.10625501231082685,0.8877312457389549,0.48481680156684026,0.0,0.0,0.0,0.0,8.111474758335543e-12,0.0,3.0941929410496765e-24,3.437992156718425e-24
