,pPTEN,pPI3K,pAKT,pGSK3B,PTEN,PI3K,AKT,GSK3B,LPS,bpV,LY294002,HDACi,LiCl,ATP,ADP,P2Y12G
0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,1e-07
0.0499049904990499,0.5045019609839116,0.5184743088348925,0.4819541109794904,0.5089289318152788,0.49549803901608835,0.4815256911651074,0.5180458890205096,0.4910710681847211,0.0,0.0,0.0,0.0,0.0,0.0,9.950219328487594e-09,9.561756441224818e-08
0.0998099809980998,0.5088686289008876,0.5360818287611454,0.46459480071381887,0.517211495565586,0.4911313710991121,0.46391817123885465,0.5354051992861812,0.482788504434414,0.0,0.0,0.0,0.0,0.0,0.0,9.90068646802099e-09,9.144604517029981e-08
0.1497149714971497,0.5131091411986961,0.5528632153922349,0.44789719661176514,0.5248936099695586,0.48689085880130345,0.4471367846077653,0.5521028033882349,0.47510639003044147,0.0,0.0,0.0,0.0,0.0,0.0,9.851400185470085e-09,8.747519028827395e-08
0.1996199619961996,0.5172318846688164,0.5688572286679751,0.43183722662412244,0.5320172773208744,0.4827681153311832,0.43114277133202505,0.5681627733758775,0.46798272267912566,0.0,0.0,0.0,0.0,0.0,0.0,9.802359253341944e-09,8.369524384937641e-08
0.2495249524952495,0.5212445665899852,0.5841008088354923,0.4163916110390075,0.5386209637670925,0.47875543341001425,0.4158991911645078,0.5836083889609922,0.4613790362329076,0.0,0.0,0.0,0.0,0.0,0.0,9.75356245027484e-09,8.009692507439652e-08
0.2994299429942994,0.5251542824798832,0.5986291685752299,0.40153784197420817,0.544739962087393,0.4748457175201163,0.4013708314247702,0.5984621580257917,0.45526003791260705,0.0,0.0,0.0,0.0,0.0,0.0,9.705008560972086e-09,7.667140342751618e-08
0.3493349334933493,0.5289675685386093,0.6124758642920807,0.38725416879818997,0.5504066728484,0.4710324314613902,0.3875241357079193,0.61274583120181,0.4495933271516,0.0,0.0,0.0,0.0,0.0,0.0,9.656696376193134e-09,7.341027928362267e-08
0.3992399239923992,0.5326904540275634,0.6256728759271181,0.3735195789253872,0.5556508844533322,0.467309545972436,0.3743271240728819,0.6264804210746128,0.4443491155466677,0.0,0.0,0.0,0.0,0.0,0.0,9.608624692717905e-09,7.030556239731623e-08
0.4491449144914491,0.5363285156640653,0.6382506926118683,0.36031377672400644,0.5605000652522484,0.46367148433593414,0.36174930738813166,0.6396862232759934,0.4394999347477515,0.0,0.0,0.0,0.0,0.0,0.0,9.560792313312506e-09,6.734964881278126e-08
0.499049904990499,0.5398869047781263,0.6502383645311284,0.34761716870430387,0.5649795110272623,0.46011309522187305,0.3497616354688716,0.6523828312956961,0.43502048897273754,0.0,0.0,0.0,0.0,0.0,0.0,9.513198046705957e-09,6.453530695732954e-08
0.5489548954895489,0.5433703919007655,0.6616635806885773,0.3354108423288467,0.5691125819862646,0.4566296080992337,0.33833641931142266,0.6645891576711532,0.43088741801373515,0.0,0.0,0.0,0.0,0.0,0.0,9.465840707556825e-09,6.185565673772123e-08
0.5988598859885989,0.5467833984612656,0.6725527311887154,0.3236765474939296,0.5729208732979241,0.4532166015387338,0.32744726881128455,0.6763234525060703,0.4270791267020757,0.0,0.0,0.0,0.0,0.0,0.0,9.418719116424323e-09,5.930415285643325e-08
0.6487648764876487,0.5501300262386485,0.6829309680441026,0.3123966776484761,0.5764243727925342,0.4498699737613508,0.31706903195589725,0.6876033223515238,0.42357562720746544,0.0,0.0,0.0,0.0,0.0,0.0,9.371832099738977e-09,5.68745685517191e-08
0.6986698669866986,0.5534140836933414,0.6928222629337892,0.30155425098210176,0.5796416016888034,0.44658591630665795,0.3071777370662107,0.698445749017898,0.42035839831119637,0.0,0.0,0.0,0.0,0.0,0.0,9.325178489773437e-09,5.4560980185027884e-08
0.7485748574857485,0.5566391102868734,0.702249462925234,0.2911328916901079,0.5825897440282882,0.4433608897131258,0.2977505370747658,0.7088671083098919,0.4174102559717114,0.0,0.0,0.0,0.0,0.0,0.0,9.278757124613367e-09,5.235775238886049e-08
0.7984798479847984,0.5598083993464432,0.7112343443326571,0.28111681144341993,0.5852847685612518,0.44019160065355606,0.2887656556673428,0.7188831885565798,0.41471523143874783,0.0,0.0,0.0,0.0,0.0,0.0,9.232566848128457e-09,5.0259523731585683e-08
0.8483848384838484,0.5629250138279227,0.7197976593479354,0.2714907911626608,0.5877415119319123,0.43707498617207646,0.2802023406520644,0.728509208837339,0.41225848806808735,0.0,0.0,0.0,0.0,0.0,0.0,9.186606509943811e-09,4.82611943847741e-08
0.8982898289828982,0.5659918080030277,0.7279591875860159,0.2622401629470607,0.5899737932894255,0.43400819199697144,0.2720408124139839,0.7377598370529391,0.4100262067105741,0.0,0.0,0.0,0.0,0.0,0.0,9.14087496541112e-09,4.63579124172332e-08
0.9481948194819482,0.5690114423858906,0.7357377806705186,0.253350792334581,0.5919944924446823,0.43098855761410854,0.26426221932948113,0.7466492076654189,0.40800550755531734,0.0,0.0,0.0,0.0,0.0,0.0,9.095371075580216e-09,4.454506201867328e-08
0.998099809980998,0.5719863986580016,0.7431514059183346,0.24480906096923552,0.593815628666321,0.4280136013419975,0.2568485940816651,0.7551909390307643,0.40618437133367863,0.0,0.0,0.0,0.0,0.0,0.0,9.050093707170685e-09,4.2818251964753345e-08
1.048004800480048,0.5749189924572751,0.7502171874357927,0.23660184949109614,0.5954484271351427,0.42508100754272404,0.24978281256420717,0.7633981505089037,0.404551572864857,0.0,0.0,0.0,0.0,0.0,0.0,9.005041732543668e-09,4.117330479616002e-08
1.0979097909790978,0.577811386109991,0.75695144595171,0.22871652095286674,0.5969033849753321,0.42218861389000817,0.24304855404828982,0.7712834790471332,0.40309661502466754,0.0,0.0,0.0,0.0,0.0,0.0,8.960214029673769e-09,3.9606246336816295e-08
1.1478147814781476,0.5806655993570565,0.7633697362879749,0.221140904470115,0.5981903265971021,0.4193344006429426,0.236630263712025,0.7788590955298849,0.4018096734028975,0.0,0.0,0.0,0.0,0.0,0.0,8.915609482121111e-09,3.811329586163652e-08
1.1977197719771977,0.583483519912147,0.769486883563696,0.21386327938131094,0.5993184578325661,0.41651648008785214,0.23051311643630387,0.786136720618689,0.4006815421674335,0.0,0.0,0.0,0.0,0.0,0.0,8.871226979003529e-09,3.6690856602204156e-08
1.2476247624762475,0.586266912590535,0.7753170172704289,0.20687235975100074,0.6002964125486213,0.4137330874094642,0.22468298272957096,0.7931276402489992,0.3997035874513784,0.0,0.0,0.0,0.0,0.0,0.0,8.827065414968903e-09,3.533550683915622e-08
1.2975297529752974,0.5890174279422927,0.780873603945789,0.20015727932186886,0.6011322964709038,0.41098257205770644,0.21912639605421091,0.799842720678131,0.39886770352909573,0.0,0.0,0.0,0.0,0.0,0.0,8.783123690167633e-09,3.404399137108541e-08
1.3474347434743474,0.5917366103571158,0.7861694785332517,0.19370757687299642,0.6018337280675728,0.4082633896428835,0.21383052146674816,0.8062924231270034,0.3981662719324267,0.0,0.0,0.0,0.0,0.0,0.0,8.73940071022524e-09,3.2813213336531725e-08
1.3973397339733973,0.5944259045503734,0.7912168733186937,0.1875131819433048,0.6024078706562125,0.40557409544962586,0.2087831266813062,0.8124868180566951,0.39759212934378707,0.0,0.0,0.0,0.0,0.0,0.0,8.695895386215116e-09,3.1640226703328954e-08
1.4472447244724471,0.5970866625624244,0.7960274465213684,0.18156440102940483,0.6028614673179925,0.40291333743757485,0.20397255347863155,0.818435598970595,0.397138532682007,0.0,0.0,0.0,0.0,0.0,0.0,8.652606634631412e-09,3.052222883784734e-08
1.497149714971497,0.5997201509279706,0.8006123102035503,0.17585190424070077,0.6032008767574548,0.40027984907202857,0.19938768979644964,0.824148095759299,0.3967991232425446,0.0,0.0,0.0,0.0,0.0,0.0,8.609533377362026e-09,2.945655324909077e-08
1.547054705470547,0.6023275545035075,0.8049820540963762,0.1703667122279885,0.6034320909231577,0.3976724454964917,0.19501794590362362,0.8296332877720113,0.39656790907684164,0.0,0.0,0.0,0.0,0.0,0.0,8.566674541661787e-09,2.8440663468372673e-08
1.5969596959695969,0.6049099832869818,0.8091467717929363,0.16510018360042966,0.6035607692789046,0.39509001671301747,0.1908532282070636,0.8348998163995701,0.3964392307210948,0.0,0.0,0.0,0.0,0.0,0.0,8.524029060125714e-09,2.7472146247103863e-08
1.6468646864686467,0.6074684764092758,0.8131160830535785,0.160044002754488,0.6035922573519311,0.39253152359072335,0.1868839169464214,0.8399559972455117,0.3964077426480683,0.0,0.0,0.0,0.0,0.0,0.0,8.48159587066244e-09,2.6548705830886078e-08
1.6967696769676968,0.6100040065160162,0.8168991559260039,0.1551901680596232,0.6035316075500862,0.38999599348398306,0.18310084407399596,0.8448098319403766,0.3964683924499131,0.0,0.0,0.0,0.0,0.0,0.0,8.439373916467762e-09,2.5668158271844034e-08
1.7466746674667466,0.6125174848300287,0.8205047290606583,0.150530980375362,0.6033836038524477,0.3874825151699705,0.17949527093934162,0.8494690196246377,0.3966163961475517,0.0,0.0,0.0,0.0,0.0,0.0,8.397362145998313e-09,2.482842567294359e-08
1.7965796579657964,0.6150097638416832,0.8239411303118663,0.1460590321252371,0.6031527734409153,0.38499023615831607,0.17605886968813358,0.8539409678747627,0.3968472265590841,0.0,0.0,0.0,0.0,0.0,0.0,8.355559512945394e-09,2.402753145667027e-08
1.8464846484648463,0.6174816417882406,0.8272162972926349,0.1417671964765319,0.6028434083073175,0.38251835821175856,0.1727837027073651,0.8582328035234679,0.39715659169268186,0.0,0.0,0.0,0.0,0.0,0.0,8.313964976208884e-09,2.3263595076617894e-08
1.8963896389638963,0.6199338656357647,0.8303377951269936,0.1376486170985489,0.6024595786416623,0.3800661343642345,0.16966220487300634,0.8623513829014509,0.3975404213583371,0.0,0.0,0.0,0.0,0.0,0.0,8.272577499871337e-09,2.2534827497409736e-08
1.9462946294629462,0.6223671339836443,0.8333128336075605,0.13369669822764615,0.6020051458817721,0.3776328660163548,0.16668716639243947,0.8663033017723537,0.3979948541182272,0.0,0.0,0.0,0.0,0.0,0.0,8.231396053172179e-09,2.18395268291509e-08
1.996199619961996,0.624782100562137,0.8361482848777758,0.12990509487487112,0.6014837791578378,0.37521789943786205,0.16385171512222413,0.8700949051251287,0.3985162208421616,0.0,0.0,0.0,0.0,0.0,0.0,8.190419610482017e-09,2.11760738060924e-08
2.046104610461046,0.6271793762590608,0.8388506980653239,0.1262677037437815,0.6008989636077889,0.37282062374093833,0.1611493019346761,0.8737322962562184,0.3991010363922104,0.0,0.0,0.0,0.0,0.0,0.0,8.149647151277125e-09,2.0542928098246204e-08
2.096009600960096,0.6295595321102225,0.8414263153169239,0.12277865407692361,0.6002540141412701,0.37044046788977664,0.1585736846830761,0.8772213459230763,0.3997459858587293,0.0,0.0,0.0,0.0,0.0,0.0,8.109077660114001e-09,1.993862422691419e-08
2.145914591459146,0.6319231015434424,0.8438810859511358,0.11943229905388511,0.599552085147011,0.3680768984565567,0.15611891404886416,0.8805677009461148,0.4004479148529884,0.0,0.0,0.0,0.0,0.0,0.0,8.068710126604097e-09,1.9361767989815544e-08
2.1958195819581956,0.6342705824278504,0.8462206798730316,0.11622320749858181,0.5987961792014068,0.36572941757214866,0.15377932012696835,0.883776792501418,0.4012038207985924,0.0,0.0,0.0,0.0,0.0,0.0,8.028543545388641e-09,1.881103308110907e-08
2.2457245724572457,0.6366024395942868,0.848450501685048,0.11314615557733236,0.5979891584610745,0.36339756040571236,0.151549498314952,0.8868538444226676,0.40201084153892486,0.0,0.0,0.0,0.0,0.0,0.0,7.988576916113601e-09,1.8285157512116446e-08
2.2956295629562953,0.6389191061181341,0.8505757016084714,0.11019611940867109,0.5971337492823362,0.36108089388186504,0.14942429839152857,0.8898038805913288,0.4028662507176631,0.0,0.0,0.0,0.0,0.0,0.0,7.948809243404787e-09,1.778294089819891e-08
2.3455345534553453,0.6412209851958804,0.852601187486582,0.10736826754345058,0.5962325501952873,0.3587790148041186,0.147398812513418,0.8926317324565494,0.40376744980471196,0.0,0.0,0.0,0.0,0.0,0.0,7.909239536843056e-09,1.7303241441780433e-08
