,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,ATP,ADP,P2Y12G,Ca
746.1278127812781,0.28856547768007335,0.07721899622710321,0.35279488004726905,0.6946562766944646,0.0,0.0,0.0,0.0,6.159308660021326e-10,-4.3081970757919754e-10,5.964259897989404e-10,6.159308660021326e-10
746.2277227722772,0.2885663865001764,0.07721899626959018,0.35279230150835095,0.6946538138338101,0.0,0.0,0.0,0.0,5.759582383158046e-10,-4.028604075604605e-10,5.57719190107492e-10,5.759582383158046e-10
746.3276327632763,0.2885672937888089,0.07721899631676614,0.3527897274695616,0.6946513551746686,0.0,0.0,0.0,0.0,5.316498965869303e-10,-3.7186844403717033e-10,5.148139770648124e-10,5.316498965869303e-10
746.4275427542754,0.2885681995484483,0.0772189963687849,0.35278715792312837,0.6946489007100867,0.0,0.0,0.0,0.0,4.828634216369036e-10,-3.3774420032784084e-10,4.67572441532527e-10,4.828634216369036e-10
746.5274527452744,0.28856910378156786,0.07721899642580216,0.35278459286129393,0.6946464504331233,0.0,0.0,0.0,0.0,4.2945468927882094e-10,-3.0038686716393367e-10,4.158550233570701e-10,4.2945468927882094e-10
746.6273627362735,0.2885700064906367,0.0772189964879754,0.35278203227631677,0.6946440043368504,0.0,0.0,0.0,0.0,3.712778703174798e-10,-2.596944426898566e-10,3.5952051136968476e-10,3.712778703174798e-10
746.7272727272726,0.2885709076781197,0.07721899655546395,0.3527794761604708,0.6946415624143517,0.0,0.0,0.0,0.0,3.081854305493795e-10,-2.155637324629649e-10,2.9842604338642357e-10,3.081854305493795e-10
746.8271827182717,0.2885718073464777,0.07721899662842904,0.3527769245060455,0.694639124658724,0.0,0.0,0.0,0.0,2.4002813076272214e-10,-1.678903494535608e-10,2.3242710620814797e-10,2.4002813076272214e-10
746.9270927092709,0.2885727054981672,0.07721899670703368,0.3527743773053458,0.6946366910630764,0.0,0.0,0.0,0.0,1.6665502673732309e-10,-1.1656871404483274e-10,1.613775356204448e-10,1.6665502673732309e-10
747.02700270027,0.28857360213564065,0.07721899679144276,0.35277183455069233,0.6946342616205305,0.0,0.0,0.0,0.0,8.791346924495544e-11,-6.149205403309423e-11,8.512951639395412e-11,8.791346924495544e-11
747.1269126912691,0.2885744972613463,0.07721899688182299,0.35276929623442116,0.6946318363242207,0.0,0.0,0.0,0.0,3.649104048844997e-12,-2.55240462743146e-12,3.5335822838873518e-12,3.649104048844997e-12
747.2268226822682,0.28857539087772816,0.07721899697834292,0.35276676234888393,0.6946294151672935,0.0,0.0,0.0,0.0,-8.62941280959995e-11,6.035939155006446e-11,-8.356138396965839e-11,-8.62941280959995e-11
747.3267326732673,0.2885762829872261,0.07721899708117298,0.35276423288644787,0.6946269981429083,0.0,0.0,0.0,0.0,-1.8207399144286785e-10,1.2735368446435656e-10,-1.7630815064177636e-10,-1.8207399144286785e-10
747.4266426642664,0.28857717359227586,0.07721899719048539,0.3527617078394956,0.6946245852442368,0.0,0.0,0.0,0.0,-2.8384995525334734e-10,1.9854201666746035e-10,-2.748611370227515e-10,-2.8384995525334734e-10
747.5265526552655,0.28857806269530895,0.07721899730645425,0.3527591872004256,0.6946221764644633,0.0,0.0,0.0,0.0,-3.917831937973242e-10,2.7403712329844453e-10,-3.793764134180591e-10,-3.917831937973242e-10
747.6264626462646,0.28857895029875263,0.07721899742925548,0.3527566709616515,0.6946197717967846,0.0,0.0,0.0,0.0,-5.060365863529821e-10,3.539529320834306e-10,-4.900117011483654e-10,-5.060365863529821e-10
747.7263726372637,0.28857983640503027,0.07721899755906686,0.35275415911560265,0.69461737123441,0.0,0.0,0.0,0.0,-6.267747172068037e-10,4.384045633355931e-10,-6.069263725495282e-10,-6.267747172068037e-10
747.8262826282628,0.2885807210165606,0.07721899769606799,0.3527516516547241,0.6946149747705616,0.0,0.0,0.0,0.0,-7.541638756535695e-10,5.275083299551593e-10,-7.302814509725956e-10,-7.541638756535695e-10
747.9261926192619,0.28858160413575873,0.07721899784044035,0.3527491485714762,0.6946125823984733,0.0,0.0,0.0,0.0,-8.883720559963575e-10,6.213817374294101e-10,-8.60239610783807e-10,-8.883720559963575e-10
748.026102610261,0.2885824857650351,0.07721899799236723,0.35274664985833504,0.6946101941113926,0.0,0.0,0.0,0.0,-1.0295689575465452e-09,7.201434838326786e-10,-9.96965177364593e-10,-1.0295689575465452e-09
748.1260126012601,0.28858336590679623,0.07721899815203374,0.35274415550779203,0.6946078099025784,0.0,0.0,0.0,0.0,-1.177925984623807e-09,8.239134598263512e-10,-1.1406241271115748e-09,-1.177925984623807e-09
748.2259225922592,0.2885842445634444,0.0772189983196269,0.35274166551235436,0.694605429765303,0.0,0.0,0.0,0.0,-1.3336162465561167e-09,9.328127486588673e-10,-1.2913840874365646e-09,-1.3336162465561167e-09
748.3258325832583,0.2885851217437204,0.07721899839333568,0.3527391798375,0.6946030536708968,0.0,0.0,0.0,0.0,-1.4023986340257982e-09,9.809233561818634e-10,-1.357988316636798e-09,-1.4023986340257982e-09
748.4257425742574,0.2885859974464805,0.07721899843024292,0.35273669849085176,0.694600681624902,0.0,0.0,0.0,0.0,-1.4371117928932509e-09,1.0052038620833992e-09,-1.391602199883757e-09,-1.4371117928932509e-09
748.5256525652565,0.2885868716719472,0.07721899846539382,0.35273422147420425,0.6945983136281295,0.0,0.0,0.0,0.0,-1.4701952350381485e-09,1.0283444444579449e-09,-1.4236379751914303e-09,-1.4701952350381485e-09
748.6255625562555,0.28858774442252594,0.07721899849866175,0.35273174878004165,0.6945959496738325,0.0,0.0,0.0,0.0,-1.5015317926395703e-09,1.0502631489672487e-09,-1.4539821851352396e-09,-1.5015317926395703e-09
748.7254725472546,0.28858861570061844,0.07721899852991786,0.3527292804008626,0.6945935897552756,0.0,0.0,0.0,0.0,-1.5310022251072445e-09,1.0708765714514354e-09,-1.4825193651604056e-09,-1.5310022251072445e-09
748.8253825382537,0.28858948550862235,0.07721899855903107,0.35272681632918024,0.694591233865735,0.0,0.0,0.0,0.0,-1.5584852190815494e-09,1.0900998579290036e-09,-1.5091320435819618e-09,-1.5584852190815494e-09
748.9252925292528,0.2885903538489315,0.07721899858586806,0.352724356557522,0.6945888819984986,0.0,0.0,0.0,0.0,-1.5838573884335012e-09,1.1078467045968299e-09,-1.53370074158474e-09,-1.5838573884335012e-09
