,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,LiCl,ATP,ADP,P2Y12G
65.42544254425442,0.9786879880043724,0.8937449470206489,0.08226782926419214,0.4377760172330861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.47534753475347,0.9786879827815302,0.8937449471443857,0.08226782876971926,0.4377760792619893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.52525252525253,0.9786879776056631,0.8937449473043918,0.08226782826198631,0.43777614074997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.57515751575157,0.9786879724763765,0.8937449475016415,0.08226782774049411,0.4377762017021516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.62506250625061,0.978687967393282,0.8937449477371181,0.08226782720473959,0.4377762621235956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.67496749674967,0.9786879623559963,0.893744948011814,0.08226782665421575,0.4377763220193016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.72487248724872,0.9786879573641419,0.8937449483267307,0.08226782608841178,0.43777638139420744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.77477747774778,0.978687952417347,0.8937449486828782,0.08226782550681289,0.43777644025318896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.82468246824682,0.9786879475152448,0.8937449490812762,0.08226782490890046,0.4377764986010601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.87458745874586,0.9786879426574746,0.893744949522953,0.08226782429415194,0.4377765564425732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.92449244924492,0.9786879378436811,0.8937449500089458,0.08226782366204091,0.43777661378241833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.97439743974397,0.9786879330735145,0.8937449505403011,0.08226782301203706,0.437776670625224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.02430243024303,0.9786879283466308,0.8937449511180743,0.08226782234360616,0.43777672697555675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.07420742074207,0.9786879236626912,0.8937449517433296,0.08226782165621013,0.4377767828379212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.12411241124111,0.9786879190213627,0.8937449524171406,0.08226782094930697,0.4377768382167602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.17401740174017,0.9786879144223177,0.8937449531405897,0.0822678202223508,0.4377768931164547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.22392239223922,0.9786879098652344,0.893744953914768,0.08226781947479184,0.4377769475413237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.27382738273828,0.9786879053497964,0.8937449547407763,0.0822678187060764,0.4377770014956243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.32373237323732,0.9786879008756929,0.8937449556197238,0.08226781791564695,0.437777054983552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.37363736373636,0.9786878964426188,0.8937449565527289,0.08226781710294202,0.43777710800924013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.42354235423542,0.9786878920502741,0.893744957540919,0.08226781626739628,0.43777716057676025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.47344734473447,0.9786878876983649,0.8937449585854306,0.08226781540844048,0.43777721269012215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.52335233523353,0.9786878833866027,0.8937449596874092,0.08226781452550151,0.4377772643532736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.57325732573257,0.9786878791147045,0.893744960848009,0.08226781361800234,0.4377773155701006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.62316231623161,0.9786878748823926,0.8937449620683937,0.08226781268536207,0.43777736634442715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.67306730673067,0.9786878706893956,0.8937449633497355,0.08226781172699588,0.4377774166800156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.72297229722972,0.9786878665354468,0.8937449646932161,0.08226781074231507,0.4377774665805662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.77287728772878,0.9786878624202857,0.8937449661000256,0.08226780973072709,0.4377775160497175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.82278227822782,0.978687858343657,0.8937449675713639,0.08226780869163543,0.4377775650910461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.87268726872686,0.9786878543053112,0.8937449691084391,0.08226780762443973,0.4377776137080667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.92259225922592,0.9786878503049927,0.893744970711889,0.08226780652880873,0.43777766190410755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.97249724972497,0.9786878463415355,0.8937449723364408,0.08226780542601966,0.4377777096725635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.02240224022403,0.9786878424138248,0.8937449739391178,0.08226780433626991,0.4377777570072592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.07230723072307,0.9786878385211879,0.8937449754988354,0.08226780326945295,0.43777780390666166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.12221222122211,0.9786878346629213,0.8937449769926872,0.08226780223632019,0.43777785036878264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.17211721172117,0.97868783083829,0.8937449783959445,0.08226780124848108,0.4377778963911781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.22202220222022,0.9786878270465288,0.8937449796820566,0.08226780031840307,0.43777794197094866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.27192719271926,0.9786878232868409,0.8937449808226502,0.0822677994594116,0.43777798710473925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.32183218321832,0.9786878195583987,0.8937449817875301,0.08226779868569005,0.4377780317887395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.37173717371736,0.9786878158603439,0.893744982544679,0.08226779801227987,0.43777807601868324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.42164216421642,0.978687812191787,0.8937449830602572,0.08226779745508048,0.43777811978984893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
