,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,ATP,ADP,P2Y12G,Ca
595.7632763276328,0.29553367312019896,0.07721882931238717,0.33748773820456235,0.6774367637095207,0.0,0.0,-2.3231293564971433e-10,0.0,0.0,0.0,0.0,0.0
595.8631863186318,0.2955197277689904,0.0772188304776944,0.3375123278683474,0.677468793951636,0.0,0.0,-2.7174908148671224e-10,0.0,0.0,0.0,0.0,0.0
595.9630963096309,0.2955058162816672,0.07721883163473711,0.33753687310320185,0.6775007531444498,0.0,0.0,-3.142741507732509e-10,0.0,0.0,0.0,0.0,0.0
596.06300630063,0.2954919385624881,0.07721883278357401,0.3375613739942118,0.6775326414674905,0.0,0.0,-3.5998546659715727e-10,0.0,0.0,0.0,0.0,0.0
596.1629162916291,0.2954780945157117,0.07721883392426385,0.3375858306264631,0.6775644591002867,0.0,0.0,-4.089803520462584e-10,0.0,0.0,0.0,0.0,0.0
596.2628262826282,0.2954642840455967,0.07721883505686529,0.3376102430850417,0.6775962062223667,0.0,0.0,-4.613561302083814e-10,0.0,0.0,0.0,0.0,0.0
596.3627362736273,0.29545050705640175,0.07721883618143707,0.3376346114550336,0.677627883013259,0.0,0.0,-5.172101241713531e-10,0.0,0.0,0.0,0.0,0.0
596.4626462646264,0.29543676345238545,0.0772188372980379,0.3376589358215247,0.6776594896524921,0.0,0.0,-5.766396570230005e-10,0.0,0.0,0.0,0.0,0.0
596.5625562556255,0.2954230531378065,0.0772188384067265,0.3376832162696009,0.6776910263195943,0.0,0.0,-6.397420518511508e-10,0.0,0.0,0.0,0.0,0.0
596.6624662466246,0.2954093760169236,0.07721883950756156,0.3377074528843483,0.6777224931940942,0.0,0.0,-7.06614631743631e-10,0.0,0.0,0.0,0.0,0.0
596.7623762376237,0.29539573199399527,0.07721884060060182,0.33773164575085274,0.67775389045552,0.0,0.0,-7.77354719788268e-10,0.0,0.0,0.0,0.0,0.0
596.8622862286228,0.2953821209815608,0.07721884168589412,0.3377557949492301,0.6777852182696459,0.0,0.0,-8.520402653996756e-10,0.0,0.0,0.0,0.0,0.0
596.9621962196219,0.29536854294362275,0.07721884276341155,0.337779900528706,0.6778164767167594,0.0,0.0,-9.306288100941815e-10,0.0,0.0,0.0,0.0,0.0
597.062106210621,0.29535499780153207,0.07721884383318837,0.3378039625641072,0.6778476659479974,0.0,0.0,-1.0131776866473752e-09,0.0,0.0,0.0,0.0,0.0
597.1620162016201,0.295341485465945,0.0772188448952741,0.3378279811366797,0.677878786132261,0.0,0.0,-1.0997692498549175e-09,0.0,0.0,0.0,0.0,0.0
597.2619261926192,0.29532800584751784,0.0772188459497183,0.33785195632766946,0.677909837438452,0.0,0.0,-1.1904858545124704e-09,0.0,0.0,0.0,0.0,0.0
597.3618361836184,0.2953145588569067,0.0772188469965705,0.33787588821832226,0.6779408200354717,0.0,0.0,-1.2854098554158033e-09,0.0,0.0,0.0,0.0,0.0
597.4617461746175,0.29530114440476796,0.07721884803588025,0.3378997768898841,0.6779717340922214,0.0,0.0,-1.3846236073603623e-09,0.0,0.0,0.0,0.0,0.0
597.5616561656166,0.2952877624017578,0.07721884906769712,0.33792362242360086,0.6780025797776027,0.0,0.0,-1.4882094651419133e-09,0.0,0.0,0.0,0.0,0.0
597.6615661566157,0.2952744127585325,0.07721885009207062,0.33794742490071855,0.678033357260517,0.0,0.0,-1.5962497835561181e-09,0.0,0.0,0.0,0.0,0.0
597.7614761476148,0.2952610953857483,0.07721885110905033,0.337971184402483,0.6780640667098656,0.0,0.0,-1.7088269173986366e-09,0.0,0.0,0.0,0.0,0.0
597.8613861386139,0.2952478101940615,0.07721885211868577,0.33799490101014024,0.6780947082945501,0.0,0.0,-1.8260232214651302e-09,0.0,0.0,0.0,0.0,0.0
597.961296129613,0.2952345570941282,0.07721885312102651,0.3380185748049361,0.6781252821834719,0.0,0.0,-1.9479210505512588e-09,0.0,0.0,0.0,0.0,0.0
598.061206120612,0.29522133599660483,0.07721885411612209,0.33804220586811656,0.6781557885455323,0.0,0.0,-2.074602759452685e-09,0.0,0.0,0.0,0.0,0.0
598.1611161116111,0.29520814681214746,0.07721885510402203,0.33806579428092753,0.6781862275496329,0.0,0.0,-2.206150702965068e-09,0.0,0.0,0.0,0.0,0.0
598.2610261026102,0.29519498945141254,0.07721885608477591,0.3380893401246149,0.678216599364675,0.0,0.0,-2.3426472358840693e-09,0.0,0.0,0.0,0.0,0.0
598.3609360936093,0.2951818638250561,0.07721885705843326,0.33811284348042464,0.6782469041595602,0.0,0.0,-2.4841747130053496e-09,0.0,0.0,0.0,0.0,0.0
598.4608460846084,0.2951687698437346,0.07721885802504364,0.3381363044296027,0.6782771421031898,0.0,0.0,-2.6308154891245706e-09,0.0,0.0,0.0,0.0,0.0
598.5607560756075,0.29515570741810415,0.07721885898465657,0.3381597230533949,0.6783073133644653,0.0,0.0,-2.782651919037392e-09,0.0,0.0,0.0,0.0,0.0
598.6606660666066,0.29514267645882103,0.07721885993732162,0.3381830994330473,0.678337418112288,0.0,0.0,-2.939766357539475e-09,0.0,0.0,0.0,0.0,0.0
598.7605760576057,0.29512967687654146,0.07721886088308832,0.3382064336498058,0.6783674565155594,0.0,0.0,-3.102241159426481e-09,0.0,0.0,0.0,0.0,0.0
598.8604860486048,0.2951167085819218,0.07721886182200624,0.3382297257849162,0.678397428743181,0.0,0.0,-3.2701586794940704e-09,0.0,0.0,0.0,0.0,0.0
598.9603960396039,0.29510377148561817,0.0772188627541249,0.33825297591962455,0.6784273349640542,0.0,0.0,-3.443601272537904e-09,0.0,0.0,0.0,0.0,0.0
599.060306030603,0.2950908654982869,0.07721886367949388,0.33827618413517674,0.6784571753470804,0.0,0.0,-3.6226512933536428e-09,0.0,0.0,0.0,0.0,0.0
599.1602160216021,0.2950779905305842,0.07721886459816267,0.3382993505128187,0.6784869500611611,0.0,0.0,-3.807391096736947e-09,0.0,0.0,0.0,0.0,0.0
599.2601260126012,0.29506514651496124,0.0772188655101571,0.3383224751202119,0.678516659238396,0.0,0.0,-3.9977744202678065e-09,0.0,0.0,0.0,0.0,0.0
599.3600360036003,0.29505233341253845,0.07721886641547161,0.3383455580071487,0.6785463029624758,0.0,0.0,-4.193585818843346e-09,0.0,0.0,0.0,0.0,0.0
