,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,ATP,ADP,P2Y12G,Ca
744.8289828982898,0.2886306090994768,0.0772189968619438,0.3526104985088608,0.6944799100627967,-4.966294737070956e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744.9288928892889,0.2886314079275869,0.07721899686155424,0.3526082418427284,0.6944777485215117,-4.977025108545605e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745.028802880288,0.28863220540407264,0.07721899686117334,0.3526059891157156,0.694475590677679,-4.9881339072821896e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745.1287128712871,0.2886330015311511,0.07721899686080126,0.35260374032095404,0.694473436525101,-4.99971540494811e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745.2286228622862,0.2886337963110363,0.0772189968604382,0.3526014954515867,0.6944712860575895,-5.011866173833038e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745.3285328532853,0.28863458974593853,0.07721899686008435,0.3525992545007682,0.6944691392689661,-5.024685104318297e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745.4284428442844,0.28863538183806486,0.07721899685973993,0.3525970174616644,0.6944669961530626,-5.0382734223462015e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745.5283528352835,0.28863617258961904,0.07721899685940511,0.3525947843274528,0.69446485670372,-5.0527347068894896e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745.6282628262826,0.28863696200280137,0.07721899685908012,0.35259255509132215,0.6944627209147893,-5.068174907420647e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745.7281728172817,0.2886377500798088,0.07721899685876517,0.3525903297464726,0.6944605887801313,-5.084702361381302e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745.8280828082808,0.28863853682283486,0.07721899685846045,0.3525881082861157,0.6944584602936161,-5.1024278116515934e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745.9279927992799,0.28863932223406985,0.07721899685816622,0.3525858907034743,0.6944563354491241,-5.1214644240195765e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746.027902790279,0.2886401063157006,0.07721899685788268,0.3525836769917825,0.6944542142405449,-5.1419278046505514e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746.1278127812781,0.28864088906991064,0.07721899685761006,0.3525814671442856,0.6944520966617777,-5.1639360175564595e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746.2277227722772,0.2886416704988803,0.07721899685734859,0.3525792611542403,0.6944499827067316,-5.187609602065258e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746.3276327632763,0.28864245060478627,0.07721899685709853,0.35257705901491443,0.6944478723693254,-5.213071590290306e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746.4275427542754,0.2886432293898022,0.0772189968568601,0.35257486071958694,0.694445765643487,-5.240447524599718e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746.5274527452744,0.2886440068560982,0.07721899685663354,0.35257266626154793,0.6944436625231544,-5.2698654750857505e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746.6273627362735,0.28864478300584123,0.07721899685641911,0.3525704756340987,0.6944415630022748,-5.301456057034181e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746.7272727272726,0.28864555784119483,0.07721899685621708,0.35256828883055175,0.6944394670748051,-5.335352448393666e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746.8271827182717,0.2886463313643193,0.0772189968560277,0.35256610584423037,0.6944373747347117,-5.3716904072451476e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746.9270927092709,0.2886471035773715,0.07721899685585124,0.3525639266684691,0.6944352859759705,-5.4106082892712246e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747.02700270027,0.2886478744825052,0.07721899685568795,0.3525617512966134,0.694433200792567,-5.4522470652254015e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747.1269126912691,0.2886486440818707,0.07721899685553812,0.35255957972201984,0.6944311191784959,-5.4967503384016976e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747.2268226822682,0.288649412377615,0.07721899685540204,0.3525574119380559,0.6944290411277615,-5.544264362103852e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747.3267326732673,0.28865017937188203,0.07721899685527997,0.3525552479380999,0.6944269666343776,-5.594938057114733e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747.4266426642664,0.28865094506681216,0.07721899685517221,0.35255308771554117,0.6944248956923675,-5.648923029165733e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747.5265526552655,0.2886517094645427,0.07721899685507906,0.3525509312637799,0.6944228282957636,-5.706373586406152e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747.6264626462646,0.2886524725672076,0.0772189968550008,0.3525487785762272,0.6944207644386079,-5.767446756872526e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747.7263726372637,0.2886532343769376,0.07721899685493774,0.3525466296463048,0.6944187041149517,-5.83230230595803e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747.8262826282628,0.28865399489585997,0.0772189968548902,0.35254448446744546,0.6944166473188557,-5.90110275388188e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747.9261926192619,0.288654754126099,0.07721899685485849,0.3525423430330927,0.6944145940443898,-5.974013393158656e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748.026102610261,0.2886555120697756,0.0772189968548429,0.35254020533670055,0.6944125442856334,-6.051202306067708e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748.1260126012601,0.28865626872900746,0.07721899685484379,0.352538071371734,0.694410498036675,-6.13284038212254e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748.2259225922592,0.288657024105909,0.07721899685486147,0.3525359411316687,0.6944084552916127,-6.219101335540144e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748.3258325832583,0.2886577782025914,0.07721899685489628,0.3525338146099909,0.6944064160445533,-6.310161722710424e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748.4257425742574,0.28865853102116273,0.07721899685494854,0.35253169180019744,0.6944043802896136,-6.406200959665528e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
