,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,ATP,ADP,P2Y12G,Ca,PIP3
1055.4332433243324,0.9999957720139788,1.0000000000000002,1.0000202747088955,1.0000143687707272,0.0,0.0,0.0,0.0,0.0,,1.0000000018033954,0.0,1.0000032151519422
1055.6831683168316,0.9999957846610255,1.0000000000000002,1.0000202063507735,1.0000143252444966,0.0,0.0,0.0,0.0,0.0,,1.0000000018028472,0.0,1.0000032005392525
1055.933093309331,0.9999957972737152,1.0000000000000002,1.00002013820395,1.000014281838319,0.0,0.0,0.0,0.0,0.0,,1.0000000018000625,0.0,1.000003185982828
1056.1830183018303,0.9999958098521313,1.0000000000000002,1.0000200702678734,1.0000142385519017,0.0,0.0,0.0,0.0,0.0,,1.0000000017949946,0.0,1.000003171482505
1056.4329432943296,0.999995822396356,1.0000000000000002,1.0000200025419932,1.0000141953849528,0.0,0.0,0.0,0.0,0.0,,1.0000000017875965,0.0,1.0000031570381214
1056.6828682868288,0.9999958349064721,1.0000000000000002,1.0000199350257617,1.0000141523371813,0.0,0.0,0.0,0.0,0.0,,1.0000000017778206,0.0,1.000003142649516
1056.932793279328,0.999995847382562,1.0000000000000002,1.0000198677186327,1.0000141094082964,0.0,0.0,0.0,0.0,0.0,,1.000000001765619,0.0,1.0000031283165276
1057.1827182718273,0.9999958598247074,1.0000000000000002,1.0000198006200613,1.0000140665980082,0.0,0.0,0.0,0.0,0.0,,1.0000000017509438,0.0,1.0000031140389967
1057.4326432643265,0.9999958722329908,1.0000000000000002,1.0000197337295058,1.000014023906028,0.0,0.0,0.0,0.0,0.0,,1.0000000017337465,0.0,1.0000030998167637
1057.6825682568258,0.9999958846074934,1.0000000000000002,1.0000196670464256,1.0000139813320679,0.0,0.0,0.0,0.0,0.0,,1.0000000017139783,0.0,1.0000030856496707
1057.932493249325,0.9999958969482972,1.0000000000000002,1.0000196005702824,1.0000139388758393,0.0,0.0,0.0,0.0,0.0,,1.0000000016915902,0.0,1.0000030715375599
1058.1824182418243,0.9999959092554833,1.0000000000000002,1.0000195343005394,1.0000138965370562,0.0,0.0,0.0,0.0,0.0,,1.0000000016665327,0.0,1.0000030574802747
1058.4323432343235,0.9999959215291329,1.0000000000000002,1.0000194682366617,1.0000138543154324,0.0,0.0,0.0,0.0,0.0,,1.0000000016387565,0.0,1.0000030434776592
1058.6822682268228,0.999995933769327,1.0000000000000002,1.000019402378117,1.000013812210682,0.0,0.0,0.0,0.0,0.0,,1.000000001608211,0.0,1.000003029529558
1058.932193219322,0.9999959459761465,1.0000000000000002,1.0000193367243748,1.0000137702225207,0.0,0.0,0.0,0.0,0.0,,1.0000000015748458,0.0,1.0000030156358175
1059.1821182118213,0.9999959581496717,1.0000000000000002,1.0000192712749056,1.0000137283506643,0.0,0.0,0.0,0.0,0.0,,1.0000000015386108,0.0,1.0000030017962833
1059.4320432043205,0.9999959702899833,1.0000000000000002,1.0000192060291833,1.00001368659483,0.0,0.0,0.0,0.0,0.0,,1.0000000014994546,0.0,1.0000029880108032
1059.6819681968198,0.9999959823971614,1.0000000000000002,1.000019140986682,1.0000136449547348,0.0,0.0,0.0,0.0,0.0,,1.000000001457326,0.0,1.000002974279225
1059.931893189319,0.999995994471286,1.0000000000000002,1.0000190761468795,1.0000136034300973,0.0,0.0,0.0,0.0,0.0,,1.0000000014121733,0.0,1.0000029606013976
1060.1818181818182,0.9999960065124367,1.0000000000000002,1.0000190115092542,1.000013562020636,0.0,0.0,0.0,0.0,0.0,,1.0000000013639445,0.0,1.000002946977171
1060.4317431743175,0.9999960185206935,1.0000000000000002,1.000018947073287,1.000013520726071,0.0,0.0,0.0,0.0,0.0,,1.0000000013125872,0.0,1.0000029334063951
1060.6816681668167,0.9999960304961357,1.0000000000000002,1.0000188828384609,1.0000134795461226,0.0,0.0,0.0,0.0,0.0,,1.000000001258049,0.0,1.0000029198889218
1060.931593159316,0.9999960424388424,1.0000000000000002,1.0000188188042602,1.0000134384805117,0.0,0.0,0.0,0.0,0.0,,1.000000001200277,0.0,1.0000029064246028
1061.1815181518152,0.9999960543488929,1.0000000000000002,1.000018754970172,1.0000133975289605,0.0,0.0,0.0,0.0,0.0,,1.0000000011392176,0.0,1.000002893013291
1061.4314431443145,0.999996066226366,1.0000000000000002,1.0000186913356846,1.000013356691191,0.0,0.0,0.0,0.0,0.0,,1.0000000010748173,0.0,1.00000287965484
1061.6813681368137,0.9999960780713403,1.0000000000000002,1.0000186279002883,1.000013315966927,0.0,0.0,0.0,0.0,0.0,,1.0000000010070227,0.0,1.0000028663491043
1061.931293129313,0.9999960898838941,1.0000000000000002,1.0000185646634758,1.0000132753558924,0.0,0.0,0.0,0.0,0.0,,1.0000000009357788,0.0,1.0000028530959395
1062.1812181218122,0.9999961016641061,1.0000000000000002,1.0000185016247412,1.0000132348578117,0.0,0.0,0.0,0.0,0.0,,1.0000000008610317,0.0,1.0000028398952012
1062.4311431143115,0.9999961134120541,1.0000000000000002,1.0000184387835809,1.0000131944724107,0.0,0.0,0.0,0.0,0.0,,1.000000000782726,0.0,1.0000028267467465
1062.6810681068107,0.999996125127816,1.0000000000000002,1.000018376139493,1.000013154199415,0.0,0.0,0.0,0.0,0.0,,1.0000000007008067,0.0,1.000002813650433
1062.93099309931,0.9999961368114696,1.0000000000000002,1.0000183136919778,1.0000131140385524,0.0,0.0,0.0,0.0,0.0,,1.0000000006152185,0.0,1.0000028006061192
1063.1809180918092,0.9999961484630924,1.0000000000000002,1.0000182514405374,1.0000130739895496,0.0,0.0,0.0,0.0,0.0,,1.0000000005259053,0.0,1.0000027876136643
1063.4308430843084,0.9999961600827617,1.0000000000000002,1.0000181893846756,1.0000130340521356,0.0,0.0,0.0,0.0,0.0,,1.0000000004328111,0.0,1.0000027746729285
1063.6807680768077,0.9999961716705547,1.0000000000000002,1.0000181275238984,1.0000129942260392,0.0,0.0,0.0,0.0,0.0,,1.000000000335879,0.0,1.0000027617837726
1063.930693069307,0.9999961832265484,1.0000000000000002,1.0000180658577136,1.0000129545109904,0.0,0.0,0.0,0.0,0.0,,1.0000000002350526,0.0,1.0000027489460583
1064.1806180618062,0.9999961947508192,1.0000000000000002,1.000018004385631,1.0000129149067192,0.0,0.0,0.0,0.0,0.0,,1.000000000130275,0.0,1.000002736159648
